""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"KCNT2"	74.2155524516605	2.83586683303456	0.213204023623978	13.3011881522278	2.27819024890823e-40	9.94878778091409e-39
"OLFML2B"	5.64037962169041	2.0907356051435	0.719887294557737	2.90425406997625	0.00368129289106456	0.00970387998045205
"DENND2D"	21.0166381114665	-2.28398650266677	0.557579667280226	-4.09625141786043	4.1989390596159e-05	0.000166559071808766
"KIF26B"	8.83348741302717	2.09400366785145	0.73005433022509	2.86828470314782	0.00412703975135217	0.0107490999198872
"DISC1"	44.2101762984091	1.63855280355523	0.304723046465017	5.37718699836948	7.56585829595172e-08	4.47768311716469e-07
"INHBB"	11.5145945013547	1.41918478118417	0.570557302450161	2.48736590538711	0.012869295911588	0.0297544398174065
"S100A9"	18.2254394094134	-1.60628952560657	0.424910938642658	-3.78029695055094	0.000156641422384869	0.000558417013011647
"ALPP"	3816.65341859541	1.48057355492543	0.06043292676109	24.4994514460402	1.49716070730806e-132	7.70556534036304e-130
"ALPG"	25.5443371794912	1.3448222515819	0.351475552172343	3.82621847599367	0.000130126810622215	0.000470933568025299
"INAVA"	4.59381317299657	2.34124602712103	0.838697275866032	2.79152692454316	0.00524599928978638	0.0133474745348008
"DPPA2"	14.6658009491251	-4.03537906974247	0.722812900654357	-5.58288191327144	2.36565375973054e-08	1.49655119980144e-07
"S100P"	2285.85358601176	-1.40644414611272	0.0759071015530592	-18.5284922930382	1.21647918048257e-76	1.51126564395985e-74
"ABLIM2"	41.5469964894767	-1.80764052941003	0.291913407273653	-6.19238611303476	5.92601660881041e-10	4.47119504447994e-09
"GASK1B"	12.2494399420421	5.25054529562284	0.783175086948274	6.70417813733345	2.02543058763513e-11	1.79510948329704e-10
"F2RL1"	58.5707245205528	1.66112728027006	0.226671444812637	7.32834822508463	2.33006640749862e-13	2.47447214432297e-12
"EBF1"	68.9754954871044	-2.59963255795435	0.445700122306518	-5.83269428893386	5.45394403656358e-09	3.68825844725095e-08
"IL31RA"	64.5888581458613	2.65900445019946	0.278594634726752	9.54434909634003	1.36964971155502e-21	2.46417253348557e-20
"RAET1E"	779.987686261925	-1.04152649255441	0.0793478094559664	-13.1260900546019	2.33399929651667e-39	9.83487247429877e-38
"DLC1"	22.4748393788115	1.97081384885839	0.365655180709757	5.38981519428478	7.05301754418025e-08	4.19311203915766e-07
"MAMDC2"	2120.08977893712	-1.17432177642126	0.0538276666220493	-21.8163232797505	1.62403549090542e-105	3.83671728843247e-103
"DEPP1"	19.2634139964967	-2.03342315287585	0.488747498366418	-4.1604778738967	3.17582384866431e-05	0.0001285945419587
"TMEM63C"	6.36076102748567	-2.05327031779894	0.877597173048208	-2.3396501046912	0.0193018134855553	0.0425448813307338
"ZNF503"	415.735636674836	-1.86198724045191	0.100330634199943	-18.5585116181092	6.9606500675193e-77	8.79911650201936e-75
"NDRG2"	85.1456810315046	-1.87009016549415	0.250735500844561	-7.45841797110924	8.75675087070299e-14	9.69973380458883e-13
"HSPA12A"	1019.46231941164	-1.42580526520548	0.0659461554661689	-21.6207488537665	1.14602721395105e-103	2.62149177464262e-101
"LARGE2"	10.1874888997521	1.78242373558691	0.578967626182238	3.07862418377408	0.00207958837075424	0.00582486841806402
"CLMN"	379.098599669715	-1.97197051186183	0.106981708180534	-18.4327820652676	7.1699295373938e-76	8.53932682342001e-74
"DPCD"	614.562472350371	-1.03370279247935	0.0757843740628633	-13.6400518611118	2.31395971632553e-42	1.09332699908089e-40
"GABRB3"	2.43610436856276	-4.82216847458287	1.5281711755857	-3.15551592100582	0.00160214521987658	0.00459747406683421
"SYNPO2L"	6.50323227427585	-4.00727173774596	1.3077643110675	-3.06421555002898	0.00218241603985663	0.00608332641206458
"WDR72"	4.97869983274959	-3.51129099211279	1.2206032820132	-2.87668486874904	0.00401876713817499	0.0105012607848123
"PRKCB"	175.120946766282	-2.39295827600198	0.191687219465429	-12.4836610530185	9.16725351927511e-36	3.31100978612215e-34
"GREM1"	3.97833798894353	4.22921254243572	1.27755516439705	3.31039524577533	0.00093164316528318	0.00281879270520594
"SGSM1"	18.0234735502192	-1.27932494166932	0.417054931064194	-3.06752143753554	0.00215841978159518	0.00602226282140718
"OR51B5"	3.84830549242075	2.63378169948159	0.905762086824524	2.90780740085431	0.0036397242540678	0.00961012572835673
