Names	total	elements
		ARID3C
		PDE1C
		UNC5A
		PLAAT4
		HOXA1
		BPIFA2
		HNMT
		ACSBG2
		TLR1
		TENM4
		VWA5A
		MAOA
		DNAH6
		KLHL30
		FOXD4L1
		P4HA3
		TRIM29
		TTLL1
		BIRC7
		GPD1
		C1orf56
		GALNT5
		GRIK2
		RYR1
		SDC2
		IGFBP7
		LGI4
		CALHM5
		DAPP1
		CIBAR1
		ZNF670-ZNF695
		FCGBP
		C15orf62
		TNNC1
		HLF
		SLC9A3
		ALDH1L2
		CNGA1
		C1orf21
		FN1
		PLPP7
		SH2D2A
		TJP3
		LTBP2
		FNDC7
		TENM1
		STEAP4
		C6orf58
		FOXL1
		TTLL7
		SEMA3G
		SLC16A9
		GLDN
		LMOD1
		RHBDL3
		HSPA6
		RAB33A
		CASP1
		ST3GAL6
		HOXC5
		GPR141
		GPR176
		PTGS2
		PLPPR3
		BTBD9
		GSDMC
		CD83
		VTN
		HNF4G
		ABI3BP
		SLCO1A2
		SCAMP5
		FAM186B
		SLC48A1
		CCNJL
		CAMK1G
		DEF6
		PSMB8
		PPP1R14D
		MME
		PHF24
		CAVIN2
		KANK4
		MUC4
		RXFP1
		OTUB2
		S100A8
		ABCA12
		CPQ
		MR1
		AP3B2
		EGR3
		SNAI3
		PRICKLE2
		PTGDR2
		RIGI
		SLC25A30
		HSD17B13
		ATL1
		RBKS
		DYNLT4
		BPIFB4
		ZNF695
		NR3C2
		IQCN
		CACNA1D
		ACTL8
		SYT1
		SPAG17
		ATP2C2
		CYP4X1
		CCR1
		LYRM9
		GPR20
		MFGE8
		CYP2S1
		ICAM4
		H2BC1
		ADRA2B
		SNX18
		NCAM2
		MSRB2
		SAMD14
		GPR161
		SRPX2
		ADORA1
		CFAP210
		PLAG1
		IFIT1
		NAT16
		NFE2L3
		DNAI7
		TTC39B
		CCDC33
		FBXL22
		DBNDD1
		CD163L1
		NR5A2
		KCNJ12
		ATP8A1
		F2R
		RAPGEF3
		SPINT1
		SPINK4
		DIO2
		STRA6
		CCDC169
		MMP17
		VMO1
		FAM50B
		SLC15A3
		TNRC6C
		MESP1
		TOX2
		TBC1D3D
		DKK1
		TMEM121
		CYSRT1
		OTOGL
		ABCA4
		CYP17A1
		CATSPERB
		EYS
		DEPTOR
		CYP27C1
		ADAMTS3
		HERC5
		RBMS3
		ACTG2
		TMEM213
		SRGAP3
		SLN
		ANGPTL2
		MYO1F
		CCDC71L
		PRKCH
		CD22
		PPIC
		KATNAL2
		NNT
		KMO
		SLC5A2
		LMCD1
		ANK3
		TDRD7
		NIPAL1
		IGBP1P2
		CLTRN
		ACTA2
		LAMA4
		THSD4
		CES4A
		BSPRY
		SUCNR1
		PSG11
		FZD4
		DHX58
		LDOC1
		SULT2B1
		MMP10
		MESP2
		CP
		AKT3
		CYP24A1
		KLRD1
		RETREG1
		ASTL
		FBLN5
		ST6GALNAC1
		IFIT3
