""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"SPRY1"	299.242497050035	-1.0978044273911	0.102822493198189	-10.6766952759557	1.30847023558662e-26	2.35704557062984e-25
"SPINK1"	27.6336693942515	1.20666292868338	0.325237951461818	3.71009263605277	0.00020718342292122	0.000625019951374859
"EBF1"	68.9754954871044	-5.39858502869898	1.04443512425305	-5.16890413136946	2.35470641262032e-07	1.04701246875259e-06
"TLR3"	124.018477081019	1.3799861440593	0.164290991732302	8.39964583272995	4.47827246207556e-17	4.56087522621703e-16
"IL31RA"	64.5888581458613	3.40937991561907	0.273714899753348	12.4559529594164	1.29791811985607e-35	3.46375889356404e-34
"ANKRD55"	1.97789111110708	3.44591350936828	1.37213572812688	2.51135032688955	0.0120270275371484	0.0258727412804666
"BMPER"	3.9584941912371	2.37833065301125	0.889638633985846	2.67336709777949	0.00750940248529455	0.0168747854694495
"SBSPON"	18.1859085645098	1.28744204583736	0.453496782977021	2.83892211403536	0.00452662042533607	0.0106642352377829
"GEM"	40.2956295862265	1.71216460874422	0.268179629845435	6.38439470488873	1.72076734109445e-10	1.05974265609026e-09
"FAM219A"	595.019835356675	1.16074808219298	0.0799790027104148	14.5131602402667	1.00004955106346e-47	4.09423695465212e-46
"CYBB"	122.235281035208	-1.05713046978831	0.199916691800098	-5.28785495733071	1.23759046276268e-07	5.67448811927234e-07
"AQP7"	16.6066080890762	1.14106167733493	0.417756084598866	2.73140648192017	0.00630646361405835	0.0144052063943882
"TSHR"	4.15004995685008	-3.38814389604474	1.4715908287174	-2.30236817865857	0.0213144179243296	0.0432014172584408
"TTC7B"	60.0387923870739	-1.35176024043431	0.249850495165017	-5.41027641166579	6.29275449343818e-08	2.96938064849173e-07
"RAPSN"	20.0988960837994	-1.89423156199045	0.48261314633325	-3.92494812124836	8.67484312118072e-05	0.000278860504615961
"GABRB3"	2.43610436856276	-3.85187730929895	1.5281711755857	-2.52057974318397	0.0117161687893997	0.02527948920857
"C2"	48.4459265880513	1.08923576540366	0.269253987072148	4.04538397833192	5.22374319878649e-05	0.000173775076726021
"WDR72"	4.97869983274959	-4.3806310836015	1.35092648476188	-3.24268650664115	0.00118408420189558	0.00314772872782091
"PKD1L2"	173.598697919647	1.57034296010376	0.137793754330847	11.3963290116424	4.3612378036362e-30	9.32489584394677e-29
"IQCD"	80.3738510090619	1.18491635896893	0.192402072928142	6.15854258187473	7.3417444883916e-10	4.26620483154078e-09
"LDHD"	131.850630209599	1.00163864412136	0.144291095231791	6.94179112378567	3.87159382463396e-12	2.73900533170349e-11
"TAC3"	9.9236219773315	1.4465902848196	0.55574503492066	2.60297473467509	0.00924187641310766	0.0203895714925435
"MAP1A"	151.029456274412	1.20584988409568	0.146286269744489	8.24308314240203	1.67828866349736e-16	1.64417525014687e-15
"PIP5KL1"	143.111279508231	1.39744957678261	0.165962146570834	8.42029104622463	3.7555016784848e-17	3.83989647141046e-16
"GPRC5B"	56.7980294796762	1.00888279322565	0.257121945667662	3.92375217372408	8.71804187763441e-05	0.000280186667035213
"IGF2"	4.01313149181005	4.31714782518038	1.40604584129355	3.07041754855492	0.00213759697612274	0.00538924248126396
"OR51B5"	3.84830549242075	-3.63720221620045	1.46947616754693	-2.47516924501894	0.0133173050688423	0.0283982958489326
"NIBAN3"	12.9946138508045	1.13469889786378	0.505501412963416	2.24469975506458	0.0247874137880599	0.0495576331991858
"ZNF701"	9.13316030478716	-4.12829875056888	1.31081077452839	-3.14942387626787	0.00163592722593848	0.00421515237850874
"LAIR1"	168.711428076578	-9.87710690859126	1.1854660247577	-8.33183465600379	7.95990663430504e-17	7.92197613998411e-16
"ZNF283"	1011.49644635017	-1.0904742508473	0.0713401229140286	-15.2855673119799	9.54283303579908e-53	4.91149167424645e-51
"PSCA"	404.649186446161	1.07627894745446	0.106771688901951	10.0801903437419	6.75950501846324e-24	1.0362896470327e-22
"SEMA6B"	60.9550330978739	1.01810172142409	0.227500072880386	4.47517096822814	7.63501931657723e-06	2.84384242365455e-05
"OR1F1"	17.8608984536268	1.31239163103419	0.393132603100191	3.33829252696125	0.00084294954815484	0.00230595025407354
"VASN"	2075.15189582587	1.17847430054865	0.0598774106207636	19.681450622716	3.10972908064202e-86	5.09253474785592e-84
"BDKRB2"	89.0467517252494	-1.14184784576698	0.202869855857517	-5.62847467377775	1.81810190435016e-08	9.13233410372607e-08
"TNXB"	239.027963843009	2.45583766479854	0.148045402864507	16.5884088075748	8.45303234372955e-62	6.37783503170087e-60
"COL3A1"	186.427757379465	-3.95262828169798	0.571339318983956	-6.91818005581544	4.57482610539523e-12	3.21756071277944e-11
"ZNF30"	124.451649905817	-1.00389969456555	0.161663980488503	-6.20979201138093	5.30547747107699e-10	3.14898005913058e-09
"IL7R"	841.365513704876	1.18559030399742	0.0849612294739898	13.9544861972646	2.95423022694007e-44	1.0750861565766e-42
"INPP5D"	22.9368073010539	-1.22241847678126	0.372854264156877	-3.27854230002028	0.00104344724482355	0.00280334046330206
"STXBP6"	1.18318501304819	-4.32772442332783	1.91865462503829	-2.25560367501861	0.0240954628612551	0.0482612529942386
"CXCL10"	4.06219918506985	-2.93973150477658	1.22375427644002	-2.40222368278741	0.0162957405613568	0.0340246185496542
"CXCL11"	9.51522995110832	-1.96374423935895	0.715340082082867	-2.74518971961012	0.00604759249881326	0.0138644377188033
"HSPB3"	31.1976650099787	-2.12826747412124	0.416308449004046	-5.11223704254091	3.18365980606976e-07	1.39456749042998e-06
"GKN1"	23.266084676866	2.03831859455574	0.420473407929549	4.84767539662641	1.24916575091991e-06	5.10735085739918e-06
"REPS2"	761.984783293372	1.09705993375219	0.0689779907874063	15.9044924508367	5.89793506197761e-57	3.5712244612672e-55
"ITGAM"	24.4203870127928	1.92028777490738	0.433430610515724	4.43043875609639	9.40415531594201e-06	3.45987445131581e-05
"MYO7B"	24.4560606393736	1.39290703101536	0.41171503807196	3.38318230380477	0.000716510528614356	0.00198455376280251
"ALCAM"	320.065953074917	-8.15203245516446	0.837531156229337	-9.73340799865388	2.17191813217519e-22	3.0715909914403e-21
"SIMC1"	27.0118264127736	-4.32458136434598	0.892831260010721	-4.84367154023488	1.27461577106218e-06	5.20353764214647e-06
"RNF150"	1597.19970178439	1.09589427040073	0.0537995268388017	20.3699611278056	3.08923053847614e-92	5.85775016973416e-90
"KRT4"	2.20394947326169	-4.09108755141367	1.61201099978129	-2.53787818567537	0.011152679624071	0.0241540826664393
"LONRF2"	7.38047219650561	1.40332689624675	0.626151418445415	2.24119415033966	0.0250135016089235	0.0499403673713212
"ZNF296"	187.193418934163	-1.06988189028416	0.144591711855842	-7.39933068467182	1.36872617280977e-13	1.08676104001992e-12
"HTRA3"	19.8061801534397	1.32681625585063	0.373130518528465	3.55590387268043	0.00037668179834979	0.00109354580902877
"KCND3"	20.2858400054222	-1.81185397832553	0.536466365223097	-3.37738597567444	0.000731782859088452	0.00202219037053187
"LRRC8C"	5.62439206255341	-2.36490243531861	0.896998322290638	-2.63646249558129	0.00837754604865162	0.0186684422618089
"COL24A1"	4.0083975466526	4.02447232678477	1.41967274013763	2.83478876011568	0.00458559955945768	0.0107802732873319
"PLEKHG5"	543.424518636633	1.82878051827483	0.0894921678381992	20.4350901587415	8.15420187488722e-93	1.60972881121918e-90
"VAT1L"	22.9740956465497	1.52535936554959	0.327491973109275	4.6577000073239	3.19761710988077e-06	1.24240658318932e-05
"KNDC1"	24.2078586453977	1.4566722172124	0.423945196310653	3.43599179773464	0.000590388846275861	0.00165720562206494
"CYP4F11"	4.43784384188925	6.68946250260891	1.382816288581	4.83756414922867	1.31439970601351e-06	5.35381971830432e-06
"FBXW10"	7.27644468229965	1.76950418131408	0.662076062649599	2.67265995727531	0.00752524880844147	0.0169077581194964
"FOXB1"	64.9365902635834	1.11535112648779	0.214453651845532	5.20089593667149	1.98330131087814e-07	8.87895470365482e-07
"ZNF556"	608.098255821197	-1.25990397079115	0.0865347378934377	-14.5595168074888	5.08157050004145e-48	2.11038940853306e-46
"LAMB2"	3665.07725532466	-1.21313326473674	0.046553999674839	-26.0586259657599	1.07420170817569e-149	7.03650946205447e-147
"NEGR1"	2461.04321251442	-1.05466684163764	0.0455394797618598	-23.1593959165282	1.16904084936733e-118	4.21176192005815e-116
"CSDC2"	203.333841833978	1.85660310202908	0.127446701935602	14.5676825985439	4.50929816176186e-48	1.87813571702746e-46
"RND1"	18.7808489820632	-1.81581761799275	0.462332878919558	-3.92751132525162	8.58293805284826e-05	0.000276072287727552
"EFCAB12"	61.7391027142735	1.14792116334901	0.243603535381322	4.71225165739948	2.44994560184439e-06	9.6623333519922e-06
"CD7"	3.82396849025779	3.09745015868877	1.08922744147816	2.84371292967545	0.00445912034843071	0.0105258613171556
"GLIS1"	41.1316370937945	-1.31044726437677	0.339621490714162	-3.85855224185355	0.000114060688471477	0.000359442069005565
